ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,상품명,가격,단위,단위_수치,단위_문자,score,url
M08752,야키소바소스,기타,기타,3,FALSE,FALSE,FALSE,,,야끼소바소스 오타후쿠 업소용 야키소바소스 2.2Kg X 6,65824,2.2Kg,2.2,Kg,0.9,https://www.foodspring.co.kr/goods/detail/920024
M08912,보쌈김치,채소류,잎채소,3,FALSE,FALSE,FALSE,,,보쌈김치 보쌈속 무김치 황태꼬들이 5kg,24000,5kg,5,kg,3.4,https://www.foodspring.co.kr/goods/detail/463458
M08932,부침,기타,기타,3,TRUE,FALSE,TRUE,,,부침두부(정남식품/수입콩)300g,800,300g,300,g,3.5,https://www.foodspring.co.kr/goods/detail/781741
M08942,블랙페퍼소스,기타,기타,3,FALSE,FALSE,FALSE,,,코다노 블랙페퍼소스 2KG 찹스테이크,7520,2KG,2,KG,1.5,https://www.foodspring.co.kr/goods/detail/930280
M08982,크로칸트,기타,기타,3,FALSE,FALSE,FALSE,,,크로칸트 2.5kg,44112,2.5kg,2.5,kg,3.5,https://www.foodspring.co.kr/goods/detail/959548
M09062,생체리,기타,기타,3,FALSE,TRUE,TRUE,,,체리(꼭지 적 명진 375g) 생체리 신선체리 붉은체리 수입과일 과일 디저트재료 카페과일 과일가게 식자재,7880,375g,375,g,-0.4,https://www.foodspring.co.kr/goods/detail/706719
M09112,고소한마요네즈,양념·기름,기타양념,3,TRUE,FALSE,TRUE,,,대상 고소한마요네즈(3.2Kg/EA),13763,3.2Kg,3.2,Kg,1.5,https://www.foodspring.co.kr/goods/detail/401802
M09172,여주쌀,곡류·면,쌀,3,FALSE,FALSE,FALSE,,,독도사랑 경기 여주쌀 5kg / 25년산 햅쌀 / 상등급 단일품종 소포장쌀,18320,5kg,5,kg,0.45,https://www.foodspring.co.kr/goods/detail/698196
M09192,제티초코,,,3,FALSE,FALSE,FALSE,,,동서 제티초코 175ml 30개,11120,175ml,175,ml,2.5,https://www.foodspring.co.kr/goods/detail/466056
M09212,팥호빵,곡류·면,빵·곡식가공,3,FALSE,FALSE,FALSE,,,꼬마단팥호빵,2800,240g,240,g,2.5,https://www.foodspring.co.kr/goods/detail/654575
M09252,식용색소빨강,기타,기타,3,FALSE,FALSE,FALSE,,,천우 식용색소빨강30g 1개,1240,30g,30,g,1.5,https://www.foodspring.co.kr/goods/detail/6380
M09312,소바,기타,기타,3,FALSE,FALSE,FALSE,,,메밀소바용육수 300g/초정,760,300g,300,g,2.5,https://www.foodspring.co.kr/goods/detail/760931
M09352,통우엉,기타,기타,3,FALSE,TRUE,TRUE,,,통우엉/중국산 500g,1024,500g,500,g,3.5,https://www.foodspring.co.kr/goods/detail/564341
M09382,코리앤더,기타,기타,3,FALSE,FALSE,FALSE,,,코리앤더분말(신영)450g,4240,450g,450,g,3.5,https://www.foodspring.co.kr/goods/detail/817238
M09412,보관용기,기타,기타,3,FALSE,FALSE,FALSE,,,[신선보관] 밀폐 사각 보관용기 2L 3P 연그린뚜껑,9440,2L,2,L,1.05,https://www.foodspring.co.kr/goods/detail/685112
M09512,과도,기타,기타,3,FALSE,FALSE,FALSE,,,과도 도루코 뉴베이직 과일칼 1개,4960,1개,1,개,2.5,https://www.foodspring.co.kr/goods/detail/933153
M09522,닭정육살,육류·계란,닭고기,3,FALSE,FALSE,FALSE,,,페르디가오 닭정육 (닭다리살) 2kg 냉동 뼈를 제거하고 껍질붙은 닭정육살,8960,2kg,2,kg,2.45,https://www.foodspring.co.kr/goods/detail/459318
M09622,먹물파스타,채소류,양념채소,3,FALSE,FALSE,FALSE,,,먹물스파게티(디벨라 500g) 먹물파스타 스파게티면 파스타 롱파스타 업소용 식자재 이탈리안레스토랑 건면,11464,500g,500,g,-0.35,https://www.foodspring.co.kr/goods/detail/19950
M09692,훈제닭,육류·계란,닭고기,3,FALSE,FALSE,FALSE,,,훈제닭가슴살(마니커F&G/국내산/냉동)200g,3080,200g,200,g,5.25,https://www.foodspring.co.kr/goods/detail/965907
M09832,부대찌개소스,,,3,FALSE,FALSE,FALSE,,,고추명가 부대찌개소스 2kg,11600,2kg,2,kg,1.5,https://www.foodspring.co.kr/goods/detail/370590
M09892,실채,기타,기타,3,FALSE,FALSE,FALSE,,,실채(통손질먹태(실채)-명가)110g,36960,110g,110,g,3.5,https://www.foodspring.co.kr/goods/detail/872468
M10112,안남미,,,3,FALSE,FALSE,FALSE,,,안남미(일반미 10Kg/EA),31853,10Kg,10,Kg,3.5,https://www.foodspring.co.kr/goods/detail/921246
M10142,얼그레이홍차,기타,기타,3,FALSE,FALSE,FALSE,,,얼그레이홍차100g(캔/아마드/F0003124)100g,13200,100g,100,g,3,https://www.foodspring.co.kr/goods/detail/847559
M10172,체다,기타,기타,3,TRUE,FALSE,TRUE,,,체다슬라이스치즈(앵커/SOS/960g/80매)pak,8304,960g,960,g,3.1,https://www.foodspring.co.kr/goods/detail/966142
M10262,딸리아뗄레,,,3,FALSE,FALSE,FALSE,,,데(딸리아뗄레/NO.203),5200,500g,500,g,2.5,https://www.foodspring.co.kr/goods/detail/610920
M10312,냅킨,기타,기타,3,FALSE,FALSE,FALSE,,,고급냅킨(유진 46g x6),4672,46g,46,g,2.5,https://www.foodspring.co.kr/goods/detail/504277
M10342,삼각살,기타,기타,3,FALSE,FALSE,FALSE,,,한돈 돼지 특수부위 3종 500g 쫀득살 삼각살 쫄깃살,12336,500g,500,g,1,https://www.foodspring.co.kr/goods/detail/655919
