ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized
M65977,핫초코나제,기타,기타,1,False,False,False,,,핫초코나제,완3,핫초코나제
M66017,황태포,기타,기타,1,False,False,False,,,황태포,완3,황태포
M66047,가자미큐브시판이유식활용,양념·기름,기름,1,False,False,False,,,가자미큐브시판이유식활용,완3,가자미큐브시판이유식활용
M66107,깔리바우트다크커버춰,기타,기타,1,False,False,False,,,깔리바우트다크커버춰,완3,깔리바우트다크커버춰
M66117,오가피나물,채소류,잎채소,1,False,False,False,,,오가피나물,완3,오가피나물
M66147,송화버섯,채소류,버섯,1,False,False,False,,,송화버섯,완3,송화버섯
M66157,인스턴트밥,기타,기타,1,False,False,False,,,인스턴트밥,완3,인스턴트밥
M66167,메주콩불린거,기타,주류,1,False,False,False,,,메주콩불린거,완3,메주콩불린거
M66217,밥지을쌀,곡류·면,쌀,1,False,False,False,,,밥지을쌀,완3,밥지을쌀
M66237,레드초코펜,기타,기타,1,False,False,False,,,레드초코펜,완3,레드초코펜
M66247,밀크초콜릿커버춰,기타,기타,1,False,False,False,,,밀크초콜릿커버춰,완3,밀크초콜릿커버춰
M66257,김치전반죽,어패류,해조류,1,False,False,False,,,김치전반죽,완3,김치전반죽
M66277,작은코다리,기타,기타,1,False,False,False,,,작은코다리,완3,작은코다리
M66317,하이포크슬라이스순,기타,기타,1,False,False,False,,,하이포크슬라이스순,완3,하이포크슬라이스순
