ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized,상품명,가격,단위,단위_수치,단위_문자,score,url
M09278,갈배음료,과일·견과,과일,3,False,False,False,,,갈배음료,완8,,해태 갈아만든배 1.5L 배음료 배쥬스 갈배,2400,1.5L,1.5,L,1.3,https://www.foodspring.co.kr/goods/detail/832646
M09321,액젓까나리,,,3,False,False,False,,,액젓까나리,완4,,액젓(하선정/까나리)1kg,3896,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/844909
M09374,소주,기타,주류,3,False,False,False,,,소주,완1,,소주컵(2.5온스 70ml 50입)X40,24224,70ml,70.0,ml,3.4,https://www.foodspring.co.kr/goods/detail/528676
M09416,발사믹크림,유제품,우유·크림,3,False,False,False,,,발사믹크림,완2,,발사믹크림(수입산)(500ml),5032,500ml,500.0,ml,4.5,https://www.foodspring.co.kr/goods/detail/811201
M09433,고추전,채소류,열매채소,3,False,False,False,,,고추전,완6,,고추 녹두전 2kg (200g x 10장),25200,2kg,2.0,kg,1.35,https://www.foodspring.co.kr/goods/detail/872020
M09632,피클소스,기타,기타,3,False,False,False,,,피클소스,완5,피클소스,이엔푸드 야채피클 절임소스 1.8L,5920,1.8L,1.8,L,1.5,https://www.foodspring.co.kr/goods/detail/931308
M09686,맛있는김치,어패류,해조류,3,False,False,False,,,맛있는김치,완2,,맛있는 배추 포기김치 10KG(중국),14400,10KG,10.0,KG,1.5,https://www.foodspring.co.kr/goods/detail/517173
M09778,시오다래소스,기타,기타,3,False,False,False,,,시오다래소스,완8,,오타후쿠 시오다래 소스 2개,21168,2개,2.0,개,0.5,https://www.foodspring.co.kr/goods/detail/972474
M09784,피망,기타,기타,3,False,True,True,,,피망,완1,,피망/청 국내산 500g,2288,500g,500.0,g,3.5,https://www.foodspring.co.kr/goods/detail/564391
M09792,라멘생면,,,3,False,False,False,,,라멘생면,완5,라멘생면,이가자연면 일본식 라멘면 생면 6kg (150g x 40인분) 일본 라멘 생라멘,21120,6kg,6.0,kg,0.3,https://www.foodspring.co.kr/goods/detail/849004
M09946,조미소스,,,3,False,False,False,,,조미소스,완2,,조미 액상소스 2kg,9200,2kg,2.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/761493
